onset	duration	trial_type
0	10	Baseline
10	0.7	GT
10.7	5.3	Baseline
16	0.7	GNT
16.7	5.3	Baseline
22	0.7	GT
22.7	5.3	Baseline
28	0.7	GT
28.7	3.3	Baseline
32	0.7	C2_5GT
32.7	5.3	Baseline
38	0.7	GT
38.7	3.3	Baseline
42	0.7	GT
42.7	3.3	Baseline
46	0.7	NT
46.7	7.3	Baseline
54	0.7	NT
54.7	3.3	Baseline
58	0.7	GNT
58.7	5.3	Baseline
64	0.7	NT
64.7	5.3	Baseline
70	0.7	C2_5GT
70.7	3.3	Baseline
74	0.7	C2_5GT
74.7	7.3	Baseline
82	0.7	GNT
82.7	5.3	Baseline
88	0.7	GNT
88.7	3.3	Baseline
92	0.7	GT
92.7	3.3	Baseline
96	0.7	C2_5GT
96.7	3.3	Baseline
100	0.7	GNT
100.7	7.3	Baseline
108	0.7	GT
108.7	3.3	Baseline
112	0.7	GT
112.7	3.3	Baseline
116	0.7	GNT
116.7	3.3	Baseline
120	0.7	C2_5GT
120.7	3.3	Baseline
124	0.7	GNT
124.7	3.3	Baseline
128	0.7	C2_5GT
128.7	7.3	Baseline
136	0.7	C2_5GT
136.7	3.3	Baseline
140	0.7	C2_5GT
140.7	5.3	Baseline
146	0.7	NT
146.7	5.3	Baseline
152	0.7	NT
152.7	3.3	Baseline
156	0.7	GT
156.7	7.3	Baseline
164	0.7	NT
164.7	3.3	Baseline
168	0.7	NT
168.7	3.3	Baseline
172	0.7	C2_5GT
172.7	5.3	Baseline
178	0.7	GNT
178.7	7.3	Baseline
186	0.7	NT
186.7	7.3	Baseline
194	0.7	NT
194.7	5.3	Baseline
200	0.7	GT
200.7	3.3	Baseline
204	0.7	GNT
204.7	7.3	Baseline
212	0.7	C2_5GT
212.7	3.3	Baseline
216	0.7	GNT
216.7	5.3	Baseline
222	0.7	GT
222.7	5.3	Baseline
228	0.7	GT
228.7	5.3	Baseline
234	0.7	GT
234.7	3.3	Baseline
238	0.7	GT
238.7	3.3	Baseline
242	0.7	C2_5GT
242.7	7.3	Baseline
250	0.7	NT
250.7	5.3	Baseline
256	0.7	GNT
256.7	7.3	Baseline
264	0.7	GNT
264.7	7.3	Baseline
272	0.7	GT
272.7	3.3	Baseline
276	0.7	GNT
276.7	5.3	Baseline
282	0.7	GNT
282.7	3.3	Baseline
286	0.7	C2_5GT
286.7	3.3	Baseline
290	0.7	C2_5GT
290.7	3.3	Baseline
294	0.7	GT
294.7	5.3	Baseline
300	0.7	NT
300.7	5.3	Baseline
306	0.7	NT
306.7	3.3	Baseline
310	0.7	NT
310.7	3.3	Baseline
314	0.7	NT
314.7	7.3	Baseline
322	0.7	NT
322.7	3.3	Baseline
326	0.7	GNT
326.7	3.3	Baseline
330	0.7	C2_5GT
330.7	5.3	Baseline
336	0.7	GNT
336.7	3.3	Baseline
340	0.7	C2_5GT
340.7	3.3	Baseline
344	0.7	NT
344.7	5.3	Baseline
350	0.7	C2_5GT
350.7	3.3	Baseline
