onset	duration	trial_type
0	10	Baseline_G
10	0.7	GT_G
10.7	3.3	Baseline_G
14	0.7	GT_G
14.7	3.3	Baseline_G
18	0.7	NT_G
18.7	5.3	Baseline_G
24	0.7	C2_5GT_G
24.7	7.3	Baseline_G
32	0.7	GT_G
32.7	3.3	Baseline_G
36	0.7	GT_G
36.7	3.3	Baseline_G
40	0.7	GNT_G
40.7	5.3	Baseline_G
46	0.7	GNT_G
46.7	3.3	Baseline_G
50	0.7	NT_G
50.7	3.3	Baseline_G
54	0.7	GNT_G
54.7	3.3	Baseline_G
58	0.7	NT_G
58.7	5.3	Baseline_G
64	0.7	GNT_G
64.7	5.3	Baseline_G
70	0.7	NT_G
70.7	3.3	Baseline_G
74	0.7	GT_G
74.7	7.3	Baseline_G
82	0.7	NT_G
82.7	5.3	Baseline_G
88	0.7	C2_5GT_G
88.7	7.3	Baseline_G
96	0.7	GNT_G
96.7	3.3	Baseline_G
100	0.7	GNT_G
100.7	3.3	Baseline_G
104	0.7	GNT_G
104.7	5.3	Baseline_G
110	0.7	C2_5GT_G
110.7	5.3	Baseline_G
116	0.7	GT_G
116.7	5.3	Baseline_G
122	0.7	C2_5GT_G
122.7	3.3	Baseline_G
126	0.7	NT_G
126.7	5.3	Baseline_G
132	0.7	C2_5GT_G
132.7	5.3	Baseline_G
138	0.7	NT_G
138.7	5.3	Baseline_G
144	0.7	NT_G
144.7	3.3	Baseline_G
148	0.7	GNT_G
148.7	3.3	Baseline_G
152	0.7	NT_G
152.7	5.3	Baseline_G
158	0.7	NT_G
158.7	3.3	Baseline_G
162	0.7	GNT_G
162.7	3.3	Baseline_G
166	0.7	C2_5GT_G
166.7	3.3	Baseline_G
170	0.7	GNT_G
170.7	3.3	Baseline_G
174	0.7	NT_G
174.7	5.3	Baseline_G
180	0.7	C2_5GT_G
180.7	5.3	Baseline_G
186	0.7	GT_G
186.7	5.3	Baseline_G
192	0.7	GNT_G
192.7	5.3	Baseline_G
198	0.7	GNT_G
198.7	3.3	Baseline_G
202	0.7	C2_5GT_G
202.7	3.3	Baseline_G
206	0.7	GT_G
206.7	3.3	Baseline_G
210	0.7	NT_G
210.7	7.3	Baseline_G
218	0.7	C2_5GT_G
218.7	5.3	Baseline_G
224	0.7	GT_G
224.7	3.3	Baseline_G
228	0.7	GT_G
228.7	7.3	Baseline_G
236	0.7	GT_G
236.7	3.3	Baseline_G
240	0.7	GNT_G
240.7	3.3	Baseline_G
244	0.7	GT_G
244.7	7.3	Baseline_G
252	0.7	NT_G
252.7	3.3	Baseline_G
256	0.7	C2_5GT_G
256.7	3.3	Baseline_G
260	0.7	GNT_G
260.7	3.3	Baseline_G
264	0.7	C2_5GT_G
264.7	3.3	Baseline_G
268	0.7	C2_5GT_G
268.7	3.3	Baseline_G
272	0.7	C2_5GT_G
272.7	7.3	Baseline_G
280	0.7	GT_G
280.7	7.3	Baseline_G
288	0.7	GT_G
288.7	3.3	Baseline_G
292	0.7	GT_G
292.7	3.3	Baseline_G
296	0.7	GNT_G
296.7	7.3	Baseline_G
304	0.7	C2_5GT_G
304.7	3.3	Baseline_G
308	0.7	C2_5GT_G
308.7	7.3	Baseline_G
316	0.7	GNT_G
316.7	5.3	Baseline_G
322	0.7	NT_G
322.7	5.3	Baseline_G
328	0.7	NT_G
328.7	7.3	Baseline_G
336	0.7	C2_5GT_G
336.7	5.3	Baseline_G
342	0.7	NT_G
342.7	3.3	Baseline_G
346	0.7	GT_G
346.7	7.3	Baseline_G
