Condition	Onset	Duration
Baseline_G	0	10
GNT_G	10	0.7
Baseline_G	10.7	5.3
NT_G	16	0.7
Baseline_G	16.7	5.3
GT_G	22	0.7
Baseline_G	22.7	5.3
GNT_G	28	0.7
Baseline_G	28.7	3.3
GT_G	32	0.7
Baseline_G	32.7	3.3
GNT_G	36	0.7
Baseline_G	36.7	7.3
GT_G	44	0.7
Baseline_G	44.7	5.3
C2_5GT_G	50	0.7
Baseline_G	50.7	3.3
NT_G	54	0.7
Baseline_G	54.7	5.3
GT_G	60	0.7
Baseline_G	60.7	3.3
GNT_G	64	0.7
Baseline_G	64.7	5.3
GNT_G	70	0.7
Baseline_G	70.7	3.3
GT_G	74	0.7
Baseline_G	74.7	3.3
GT_G	78	0.7
Baseline_G	78.7	3.3
NT_G	82	0.7
Baseline_G	82.7	7.3
C2_5GT_G	90	0.7
Baseline_G	90.7	5.3
C2_5GT_G	96	0.7
Baseline_G	96.7	5.3
C2_5GT_G	102	0.7
Baseline_G	102.7	3.3
C2_5GT_G	106	0.7
Baseline_G	106.7	3.3
C2_5GT_G	110	0.7
Baseline_G	110.7	5.3
GT_G	116	0.7
Baseline_G	116.7	3.3
GNT_G	120	0.7
Baseline_G	120.7	5.3
GNT_G	126	0.7
Baseline_G	126.7	3.3
GNT_G	130	0.7
Baseline_G	130.7	3.3
NT_G	134	0.7
Baseline_G	134.7	3.3
GNT_G	138	0.7
Baseline_G	138.7	7.3
C2_5GT_G	146	0.7
Baseline_G	146.7	7.3
NT_G	154	0.7
Baseline_G	154.7	5.3
C2_5GT_G	160	0.7
Baseline_G	160.7	3.3
GT_G	164	0.7
Baseline_G	164.7	3.3
GNT_G	168	0.7
Baseline_G	168.7	3.3
C2_5GT_G	172	0.7
Baseline_G	172.7	5.3
NT_G	178	0.7
Baseline_G	178.7	7.3
NT_G	186	0.7
Baseline_G	186.7	5.3
C2_5GT_G	192	0.7
Baseline_G	192.7	3.3
C2_5GT_G	196	0.7
Baseline_G	196.7	7.3
NT_G	204	0.7
Baseline_G	204.7	3.3
GT_G	208	0.7
Baseline_G	208.7	3.3
NT_G	212	0.7
Baseline_G	212.7	7.3
GT_G	220	0.7
Baseline_G	220.7	3.3
GT_G	224	0.7
Baseline_G	224.7	3.3
GNT_G	228	0.7
Baseline_G	228.7	5.3
NT_G	234	0.7
Baseline_G	234.7	3.3
NT_G	238	0.7
Baseline_G	238.7	3.3
GNT_G	242	0.7
Baseline_G	242.7	3.3
NT_G	246	0.7
Baseline_G	246.7	3.3
C2_5GT_G	250	0.7
Baseline_G	250.7	3.3
GT_G	254	0.7
Baseline_G	254.7	5.3
NT_G	260	0.7
Baseline_G	260.7	3.3
GT_G	264	0.7
Baseline_G	264.7	7.3
GNT_G	272	0.7
Baseline_G	272.7	3.3
NT_G	276	0.7
Baseline_G	276.7	7.3
GNT_G	284	0.7
Baseline_G	284.7	5.3
C2_5GT_G	290	0.7
Baseline_G	290.7	5.3
NT_G	296	0.7
Baseline_G	296.7	3.3
C2_5GT_G	300	0.7
Baseline_G	300.7	3.3
GNT_G	304	0.7
Baseline_G	304.7	3.3
C2_5GT_G	308	0.7
Baseline_G	308.7	3.3
GNT_G	312	0.7
Baseline_G	312.7	7.3
NT_G	320	0.7
Baseline_G	320.7	7.3
C2_5GT_G	328	0.7
Baseline_G	328.7	5.3
GT_G	334	0.7
Baseline_G	334.7	7.3
GT_G	342	0.7
Baseline_G	342.7	5.3
GT_G	348	0.7
Baseline_G	348.7	5.3
